Date,Time,PM1.0 ug/m3 (ultrafine particles),"PM2.5 ug/m3 (combustion particles, organic compounds, metals)","PM10 ug/m3  (dust, pollen, mould spores)",PM1.0 ug/m3 (atmos env),PM2.5 ug/m3 (atmos env),PM10 ug/m3 (atmos env),>0.3um in 0.1L air,>0.5um in 0.1L air,>1.0um in 0.1L air,>2.5um in 0.1L air,>5.0um in 0.1L air,>10um in 0.1L air,CO2 in ppm,Temperature in C,Relative Humidity
21-08-2024,10:42:00,1,2,6,1,2,6,234,75,24,8,6,4,431.91,23.21,51.99
21-08-2024,10:43:00,0,1,6,0,1,6,192,61,22,8,6,4,438.94,23.14,50.44
21-08-2024,10:44:00,0,2,6,0,2,6,213,68,26,8,6,4,447.97,23.3,50.21
21-08-2024,10:45:00,0,2,6,0,2,6,219,70,26,8,6,4,421.83,23.28,50.01
21-08-2024,10:46:00,0,2,6,0,2,6,213,68,24,8,6,4,389.24,23.14,48.88
21-08-2024,10:47:00,0,2,4,0,2,4,213,68,20,6,4,2,444.51,22.86,49.66
21-08-2024,10:48:00,0,2,4,0,2,4,213,68,20,6,4,2,404.9,22.93,49.03
21-08-2024,10:49:00,0,2,4,0,2,4,213,68,20,6,4,2,400.36,22.96,48.96
21-08-2024,10:50:00,1,2,5,1,2,5,240,77,20,6,4,2,396.29,22.82,48.26
21-08-2024,10:51:00,1,2,5,1,2,5,240,77,20,6,4,2,364.04,22.91,48.46
21-08-2024,10:52:01,1,2,5,1,2,5,240,77,20,6,4,2,335.48,22.89,47.86
21-08-2024,10:53:01,1,1,4,1,1,4,219,73,16,4,4,2,406.72,23.17,47.89
21-08-2024,10:54:01,1,1,4,1,1,4,219,73,16,4,4,2,395.06,22.97,48.25
21-08-2024,10:55:01,1,1,4,1,1,4,219,73,16,4,4,2,375.76,23.15,48.33
21-08-2024,10:56:01,1,2,4,1,2,4,234,78,20,6,4,2,404.78,22.76,48.46
21-08-2024,10:57:01,1,2,4,1,2,4,234,78,20,6,4,2,378.63,22.67,48.5
21-08-2024,10:58:01,1,2,4,1,2,4,234,78,20,6,4,2,359.74,22.7,48.25
21-08-2024,10:59:01,1,2,3,1,2,3,240,80,18,4,2,0,359.15,23,48.03
21-08-2024,11:00:01,1,2,3,1,2,3,240,80,18,4,2,0,337.31,23.03,45.71
21-08-2024,11:01:01,1,2,3,1,2,3,240,80,18,4,2,0,378.07,22.94,48.27
21-08-2024,11:02:01,1,2,3,1,2,3,252,84,18,4,2,0,356.81,22.91,46.91
21-08-2024,11:03:01,1,2,3,1,2,3,252,84,18,4,2,0,373.68,23.05,46.71
21-08-2024,11:04:01,1,2,3,1,2,3,252,84,18,4,2,0,367.75,23.18,47.65
21-08-2024,11:05:01,1,2,2,1,2,2,252,84,16,2,0,0,341.39,23.14,46.95
21-08-2024,11:06:01,1,2,2,1,2,2,252,84,16,2,0,0,358.48,22.94,47.52
21-08-2024,11:07:01,1,2,2,1,2,2,252,84,16,2,0,0,362.03,23.17,47.94
21-08-2024,11:08:01,1,2,2,1,2,2,237,74,14,2,0,0,363.17,23.21,46.91
21-08-2024,11:09:01,1,2,2,1,2,2,237,74,14,2,0,0,321.46,22.96,47.28
21-08-2024,11:10:01,1,2,2,1,2,2,237,74,14,2,0,0,369.43,22.8,46.91
21-08-2024,11:11:01,1,1,1,1,1,1,231,72,14,2,0,0,328.08,22.6,46.91
21-08-2024,11:12:01,1,1,1,1,1,1,231,72,14,2,0,0,381.09,22.97,46.46
21-08-2024,11:13:01,1,1,1,1,1,1,231,72,14,2,0,0,365.85,22.58,46.71
21-08-2024,11:14:01,1,2,2,1,2,2,216,65,16,4,0,0,362.27,22.8,45.86
21-08-2024,11:15:01,1,2,2,1,2,2,216,65,16,4,0,0,354.79,23.01,46.05
21-08-2024,11:16:01,1,2,2,1,2,2,216,65,16,4,0,0,380.29,22.93,46.35
21-08-2024,11:17:01,0,2,2,0,2,2,204,61,16,4,0,0,411.47,23.17,45.81
21-08-2024,11:18:01,0,2,2,0,2,2,204,61,16,4,0,0,429.11,22.62,45.77
21-08-2024,11:19:01,0,2,2,0,2,2,204,61,16,4,0,0,384.47,23.07,46.96
21-08-2024,11:20:01,0,1,1,0,1,1,171,50,14,4,0,0,389.95,23.1,46.23
21-08-2024,11:21:01,0,1,1,0,1,1,171,50,14,4,0,0,343.75,22.94,46.37
21-08-2024,11:22:01,0,1,1,0,1,1,171,50,14,4,0,0,370.32,23.07,46.73
21-08-2024,11:23:01,0,2,3,0,2,3,192,57,20,8,2,0,375.55,23.17,45.44
21-08-2024,11:24:01,0,2,3,0,2,3,192,57,20,8,2,0,370.17,23.05,45.07
21-08-2024,11:25:01,0,2,3,0,2,3,192,57,20,8,2,0,340.82,23,45.53
21-08-2024,11:26:01,0,1,4,0,1,4,165,48,16,8,4,2,343.09,23.15,46.04
21-08-2024,11:27:01,0,1,4,0,1,4,165,48,16,8,4,2,371.03,22.98,45.24
21-08-2024,11:28:01,0,1,4,0,1,4,165,48,16,8,4,2,337.42,23.03,46.19
21-08-2024,11:29:01,0,1,4,0,1,4,165,48,18,8,4,2,354.41,23.2,45.15
21-08-2024,11:30:01,0,1,4,0,1,4,165,48,18,8,4,2,352.33,22.63,45.53
21-08-2024,11:31:01,0,1,4,0,1,4,165,48,18,8,4,2,394.99,22.56,46.15
21-08-2024,11:32:01,0,1,4,0,1,4,165,46,20,8,4,2,387.49,22.56,45.82
21-08-2024,11:33:01,0,1,4,0,1,4,165,46,20,8,4,2,372.58,22.87,45.87
21-08-2024,11:34:01,0,1,4,0,1,4,165,46,20,8,4,2,375.04,22.7,46.44
21-08-2024,11:35:01,0,1,4,0,1,4,174,49,20,8,4,2,415.92,23.05,45.55
